latitude,longitude,confidence
25.072479,-99.963791,n
24.720646,-99.76796,n
24.725864,-99.775215,n
24.72941,-99.773499,n
25.065105,-100.026367,n
25.075993,-100.023697,n
25.080462,-100.027328,n
25.083971,-100.02581,n
25.087458,-100.024155,n
25.406437,-100.495552,n
25.362413,-100.273285,n
25.371614,-100.303352,n
25.364958,-100.246239,n
25.36323,-100.257278,n
25.362339,-100.25238,n
25.361444,-100.247482,n
25.36055,-100.242577,n
25.359797,-100.258926,n
25.360683,-100.263786,n
25.323116,-100.368965,n
25.324013,-100.374008,n
25.328529,-100.378586,n
25.326778,-100.368744,n
25.327658,-100.373688,n
25.33037,-100.368088,n
25.331181,-100.372627,n
25.331984,-100.377113,n
25.316126,-100.267365,n
25.317101,-100.272881,n
25.318043,-100.278206,n
25.332281,-100.358002,n
25.335398,-100.375404,n
25.334639,-100.37117,n
25.328287,-100.371193,n
25.329206,-100.37616,n
25.331795,-100.370117,n
25.332609,-100.37455,n
25.317081,-100.270264,n
25.318094,-100.275711,n
25.332846,-100.355637,n
25.333687,-100.360207,n
25.335262,-100.368805,n
25.336025,-100.372971,n
25.337221,-100.359245,n
25.331223,-100.306473,n
25.332054,-100.311005,n
25.346575,-100.247879,n
25.347406,-100.252434,n
25.348269,-100.257149,n
25.350994,-100.251617,n
25.352831,-100.261665,n
25.350096,-100.246712,n
25.351921,-100.256691,n
25.353579,-100.245331,n
25.396114,-100.417969,n
25.392677,-100.419434,n
25.390898,-100.409622,n
25.391794,-100.414536,n
25.389994,-100.40461,n
25.388353,-100.416008,n
25.387478,-100.411179,n
25.389206,-100.420715,n
25.386549,-100.406052,n
25.383898,-100.391426,n
25.383926,-100.41201,n
25.366026,-100.395149,n
25.363237,-100.400215,n
25.361574,-100.391098,n
25.35993,-100.382088,n
25.359684,-100.40107,n
25.360516,-100.405617,n
25.358036,-100.392044,n
25.35453,-100.250549,n
25.355461,-100.25563,n
25.356371,-100.260612,n
25.357061,-100.243942,n
25.373598,-100.293755,n
25.368374,-100.28553,n
25.367548,-100.280998,n
25.364044,-100.282227,n
25.363251,-100.27787,n
25.364836,-100.286583,n
25.36046,-100.28302,n
25.359665,-100.278656,n
25.393562,-100.424324,n
25.376043,-100.307205,n
25.374426,-100.298317,n
