latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,bright_t31,frp,daynight
25.718819,-100.299019,298.16,0.52,0.41,2012-01-20,800,N,VIIRS,n,269.25,1.05,N
25.69911,-100.296768,299.01,0.52,0.41,2012-01-20,800,N,VIIRS,n,273.32,0.71,N
25.695845,-100.271088,300.47,0.52,0.41,2012-01-20,800,N,VIIRS,n,275.68,1.1,N
25.721886,-100.302322,302.49,0.52,0.41,2012-01-20,800,N,VIIRS,n,271.63,1.38,N
25.721256,-100.297165,296.91,0.52,0.41,2012-01-20,800,N,VIIRS,n,270.04,0.86,N
25.723293,-100.303596,299.34,0.52,0.41,2012-01-20,800,N,VIIRS,n,271.28,1.05,N
25.750374,-100.317749,300.99,0.33,0.55,2012-01-21,742,N,VIIRS,n,282.3,0.34,N
25.589951,-99.943771,295.29,0.62,0.54,2012-01-21,742,N,VIIRS,n,279.42,1.48,N
25.720806,-100.304352,311.27,0.33,0.55,2012-01-21,742,N,VIIRS,n,280.47,1.04,N
25.723259,-100.304214,308.09,0.33,0.55,2012-01-21,742,N,VIIRS,n,280.18,0.78,N
25.696898,-100.270363,308.97,0.33,0.55,2012-01-21,742,N,VIIRS,n,281,1.08,N
25.699371,-100.296738,307.78,0.33,0.55,2012-01-21,742,N,VIIRS,n,281.51,0.71,N
25.836313,-100.348656,295.19,0.33,0.55,2012-01-21,742,N,VIIRS,n,278.32,0.37,N
25.720177,-100.297737,322.89,0.33,0.55,2012-01-21,742,N,VIIRS,n,280.47,2.05,N
24.20083,-99.092079,332.01,0.45,0.63,2012-01-21,1900,N,VIIRS,n,299.77,3.66,D
25.695522,-100.270195,297.17,0.65,0.73,2012-01-22,724,N,VIIRS,n,286.54,0.64,N
25.723793,-100.306015,298.16,0.65,0.73,2012-01-22,724,N,VIIRS,n,286.9,1.28,N
25.723368,-100.299385,300.19,0.65,0.73,2012-01-22,724,N,VIIRS,n,287.18,0.94,N
25.747869,-100.233192,306.88,0.64,0.72,2012-01-22,724,N,VIIRS,n,286.17,2.39,N
25.716568,-100.299896,307.01,0.65,0.73,2012-01-22,724,N,VIIRS,n,286.43,1.04,N
25.7246,-100.301079,300.34,0.65,0.73,2012-01-22,724,N,VIIRS,n,287.53,1.62,N
25.582018,-99.938744,296.9,0.61,0.71,2012-01-22,724,N,VIIRS,n,285.97,2.1,N
25.579483,-99.94236,311.88,0.61,0.71,2012-01-22,724,N,VIIRS,n,286.16,2.55,N
25.717796,-100.301582,304.92,0.65,0.73,2012-01-22,724,N,VIIRS,n,286.62,1.62,N
25.696165,-100.301308,300.81,0.65,0.73,2012-01-22,724,N,VIIRS,n,286.46,1.35,N
25.696516,-100.295593,303.89,0.43,0.62,2012-01-22,906,N,VIIRS,n,287.41,0.9,N
25.592293,-99.940933,302.03,0.46,0.63,2012-01-22,906,N,VIIRS,n,289.73,2.45,N
25.721893,-100.301697,306.51,0.43,0.62,2012-01-22,906,N,VIIRS,n,288.04,2.13,N
25.578711,-99.935303,320.06,0.46,0.63,2012-01-22,906,N,VIIRS,n,287.23,2.51,N
25.69553,-100.297859,304.86,0.43,0.62,2012-01-22,906,N,VIIRS,n,287.5,0.8,N
25.697559,-100.299873,297.79,0.43,0.62,2012-01-22,906,N,VIIRS,n,286.96,1.06,N
25.774412,-100.27179,298.81,0.43,0.62,2012-01-22,906,N,VIIRS,n,286.63,0.56,N
25.70108,-100.296082,298.41,0.43,0.62,2012-01-22,906,N,VIIRS,n,287.43,0.8,N
25.720858,-100.297417,313.93,0.43,0.62,2012-01-22,906,N,VIIRS,n,288.39,1.75,N
25.57761,-99.930748,300.49,0.46,0.63,2012-01-22,906,N,VIIRS,n,286.45,1.57,N
25.718796,-100.295303,317.99,0.43,0.62,2012-01-22,906,N,VIIRS,n,287.42,1.65,N
25.695801,-100.268089,308.37,0.43,0.62,2012-01-22,906,N,VIIRS,n,287.65,0.95,N
25.694969,-100.270218,304.02,0.43,0.62,2012-01-22,906,N,VIIRS,n,287.59,1.19,N
25.720818,-100.303917,314.26,0.43,0.62,2012-01-22,906,N,VIIRS,n,288.72,3.12,N
25.749311,-100.316437,299.72,0.43,0.62,2012-01-22,906,N,VIIRS,n,287.5,0.39,N
25.715286,-100.299065,296.93,0.43,0.62,2012-01-22,906,N,VIIRS,n,286.43,0.64,N
24.496243,-99.216637,334.62,0.51,0.41,2012-01-23,2000,N,VIIRS,n,303.98,3.51,D
